Property Details	تفاصيل العقار
Refundable Security Deposit	استرداد مبلغ التأمين
Booking Details	حجز تفاصيل
Rent	إيجار
Fees	الرسوم
Taxes	الضرائب
Optional Fees & Services	الرسوم الاختيارية والخدمات
Deposits	الودائع
Discounts	خصومات
Sub Total	المجموع الفرعي
Total	الإجمالي الكلي
First Name	الاسم الأول
Last Name	اسم العائلة
Special Requests	طلبات خاصة
Change Info	تغيير معلومات
Accept Terms and Conditions	استعرض الشروط والأحكام
Please fill out all required fields	يرجى ملء جميع الحقول المطلوبة
The entered credit card is invalid	بطاقة الائتمان تم إدخالها غير صالحة
Please accept the terms and conditions	يرجى قبول الأحكام والشروط
Guest Information	معلومات الزوار
Credit Card Information	معلومات بطاقة الائتمان
Name on Card	الاسم على البطاقة
Card Type	نوع بطاقة
Card Number	رقم البطاقة
Expiration	انتهاء الصلاحية
Month	شهر
Year	عام
Security Code	رمز الحماية
Amount to be charged now	المبلغ ستحمل الآن
Amount Paid	المبلغ المدفوع
Amount Due Now	المبلغ المستحق الآن
Billing Address	عنوان الفواتير
Street Line 1	الشارع الخط 1
Street Line 2	الشارع الخط 2
I have read and accept the terms and conditions	لقد قرأت وأوافق على الشروط والشروط
Terms of Service	شروط الخدمة
Rental Policy	سياسة الإيجار
Booking Disclaimer	حجز إخلاء المسؤولية
Review Now	مراجعة الآن
Reserve Now	الاحتياطي الآن
You Saved	قمت بحفظه
Status	وضع
Created On	مكون في
Hold Confirmation Number	عقد رقم تأكيد
Quoted Rate	أسعار نقل عن
We are looking forward to your visit	ونحن نتطلع إلى زيارتكم
in the mean time	في هذه الأثناء
you may want to review one of these links	قد ترغب في النظر في واحد من هذه الروابط
Map and Description of Local Attractions	الخريطة ووصف معالم الجذب المحلية
More Info About	معلومات إضافية عن
located in	يقع في
Complete your booking now	إتمام الحجز الآن
click here	اضغط هنا
Your booking will be held until	سيعقد الحجز حتى
A service from	خدمة من
Best Regards	خالص تحياتي
Thank you for your interest in	شكرا لاهتمامك
Toll-Free	الرقم المجاني
Confirmed	مؤكد
Held	عقد
Checked In	فحص في
Checked Out	معار
Cancelled	تم الغاء
Pending Confirmation	في انتظار التأكيد
Weather	الاحوال الجويه
Special Offers	عروض خاصة
Blog	بلوق
Featured Suites	أجنحة مميزة
Revise Search	مراجعة البحث
Similar Properties	عقارات قد تهمك
Property Finders	المكتشفون الملكية
Digital Footprint	البصمة الرقمية
Last Booking	الحجز الماضي
Last Email	نشاط البريد الإلكتروني
Last Event	الحدث الماضي
Quote is valid for	اقتباس صالحة ل
minute(s)	دقيقة (دقائق)
second(s)	الثاني (ق)
The credit card number should contain only digits	وينبغي أن يتضمن رقم بطاقة الائتمان الأرقام الوحيدة
This quote is not valid any more	هذا الاقتباس غير صالح أي أكثر من ذلك
The page will be automatically refreshed	سيتم تحديث الصفحة تلقائيا
You will pay in	سوف تدفع في
There are no properties in your wish list	لا توجد عقارات في قائمة رغبتكم
Garage Spaces	مساحات الجراج
An unexpected error occurred	حدث خطأ غير متوقع
Please try again later	يرجى المحاولة مرة أخرى في وقت لاحق
Booking not found	الحجز لم يتم العثور
Make a Payment	جعل الدفع
Please verify this booking belongs to you	يرجى التحقق من ذلك حجز ملك لك
This booking has been canceled	تم إلغاء هذا الحجز
Pay Now	ادفع الآن
Filter by	مرشح من قبل
Response	استجابة
See full review on	انظر استعراض كامل على
Lot Size	الكثير الحجم
Privacy	خصوصية
Privacy Policy	سياسة الخصوصية
Policy	سياسة
Terms	شروط
My WishList	المفضلة
WishList	قائمة الرغبات
WishListed	في قائمة رغبتكم
Nights	ليالي
Inquire Now	الاستفسار الآن
Thank you, your request has been submitted.	شكرا لكم، وقد قدم الطلب الخاص بك.
Booking %s was not found.	الحجوزات %s غير موجود.
Try again	حاول مرة أخرى
Please contact us to complete this transaction:	يرجى الاتصال بنا لإتمام هذه الصفقة:
Booking ID	معرف الحجز
Phone	الهاتف
There was an error with PayPal	كان هناك خطأ مع بأي بال
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	ولسوء الحظ، فشلت الدفع الخاص بك. لا تقلق، والحجز الخاص بك آمنة؛ ولكن سوف تحتاج إلى محاولة الدفع الخاص بك مرة أخرى.
Payment Confirmed	وأكد الدفع
Booking Confirmed	وأكدت الحجز
Booking Complete	الحجوزات كاملة
Payment Complete	الدفع الكامل
Create Booking	إنشاء الحجز
Complete Payment	إنشاء الحجز
Next, please confirm your %s PayPal payment.	وبعد ذلك، يرجى تأكيد %s الخاص بك الدفع بأي بال.
Confirm this payment	تأكيد هذا الدفع
Please contact us to complete this transaction:	يرجى الاتصال بنا لإتمام هذه الصفقة:
We're sorry, but your payment was unsuccessful.	نحن آسفون، لكن الدفع الخاص بك بنجاح.
