Property Details	Details der Immobilie
Best Regards	Liebe Grüße
Thank you for your interest in	Vielen Dank für Ihr Interesse an
Toll-Free	Gebührenfrei
Confirmed	Bestätigt
Held	Gehalten
Checked In	Eingecheckt
Checked Out	Ausgecheckt
Cancelled	Abgesagt
Pending Confirmation	Noch zu bestätigen
Weather	Wetter
Special Offers	Angebote
Blog	Blog
Featured Suites	Besondere Suites
Revise Search	Suche ändern
Similar Properties	Ähnliche Immobilien
Property Finders	Property Finders
Digital Footprint	Digital-Footprint
Last Booking	Letzte Buchung
Last Email	Letzte E-Mail
Last Event	Letztes Ereignis
Quote is valid for	Quote gilt für
minute(s)	Minute (n)
second(s)	die zweite (n)
The credit card number should contain only digits	Die Kreditkartennummer sollte nur Ziffern enthalten
This quote is not valid any more	Dieses Zitat ist nicht mehr gültig
The page will be automatically refreshed	Wird die Seite automatisch aktualisiert
You will pay in	Sie zahlen in
There are no properties in your wish list	Es sind keine Objekte in Ihrer Merkliste
Garage Spaces	Garagenplätze
An unexpected error occurred	Ein unerwarteter Fehler aufgetreten
Please try again later	Bitte versuchen Sie es später noch einmal
Booking not found	Reservation nicht gefunden
Make a Payment	Machen Sie eine Zahlung
Please verify this booking belongs to you	Bitte überprüfen Sie diese Buchung auf Sie
This booking has been canceled	Diese Buchung storniert wurde
Pay Now	Jetzt Bezahlen
Filter by	Filtern nach
Response	Antwort
See full review on	Komplette Bewertung auf
Lot Size	Grundstücksgröße
Privacy	Privatleben
Privacy Policy	Datenschutz-Bestimmungen
Policy	Politik
Terms	Bedingungen
My WishList	Mein Wunschzettel
WishList	Für Merkzettel
WishListed	In die Wunschliste
Nights	Nächte
Inquire Now	Jetzt erkundigen
Thank you, your request has been submitted.	Vielen Dank, Ihre Anfrage wurde abgeschickt.
Booking %s was not found.	Buchung von %s wurde nicht gefunden.
Try again	Wiederholen
Please contact us to complete this transaction:	Bitte kontaktieren Sie uns um diese Transaktion abzuschließen:
Booking ID	Buchungs ID
Phone	Telefon
There was an error with PayPal	Es gab einen Fehler mit PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Leider konnte Ihre Zahlung. Keine Sorge, Ihre Buchung ist sicher; aber du musst deine Zahlung erneut zu versuchen.
Payment Confirmed	Zahlung bestätigt
Booking Confirmed	Buchung bestätigt
Booking Complete	Buchung von kompletten
Payment Complete	Vollständige Zahlung
Create Booking	Buchung erstellen
Complete Payment	Vollständigen Bezahlung
Next, please confirm your %s PayPal payment.	Anschließend bestätigen Sie bitte Ihre %s PayPal-Zahlung.
Confirm this payment	Diese Zahlung bestätigen
Please contact us to complete this transaction:	Bitte kontaktieren Sie uns um diese Transaktion abzuschließen:
We're sorry, but your payment was unsuccessful.	Es tut uns leid, aber Ihre Zahlung ist fehlgeschlagen.
