Property Details	Chi tiết Khách sạn
Terms of Service	Điều khoản dịch vụ
Rental Policy	Chính sách cho thuê
Booking Disclaimer	Đặt Disclaimer
Review Now	Bây giờ xem xét
Reserve Now	Bây giờ dự trữ
You Saved	Bạn đã lưu
Status	Status
Created On	Ngày tạo
Hold Confirmation Number	Hold Số Chứng nhận
Quoted Rate	Tỷ lệ trích dẫn
We are looking forward to your visit	Chúng tôi đang mong đợi chuyến thăm của bạn
in the mean time	trong thời gian trung bình
you may want to review one of these links	bạn có thể muốn xem xét một trong những liên kết này
Map and Description of Local Attractions	Bản đồ và mô tả các thắng cảnh địa phương
More Info About	More Info About
located in	nằm trong
Complete your booking now	Hoàn đặt phòng của bạn bây giờ
click here	bấm vào đây
Your booking will be held until	Đặt phòng của bạn sẽ được giữ đến
A service from	Một dịch vụ từ
Best Regards	Trân Trọng
Thank you for your interest in	Cảm ơn bạn đã quan tâm đến
Toll-Free	Toll-Free
Confirmed	Xác nhận
Held	Tổ chức
Checked In	Trong kiểm tra
Checked Out	Mượn
Cancelled	Hủy
Pending Confirmation	Cấp phát Chứng nhận
Weather	Thời tiết
Special Offers	Quà đặc biệt
Blog	Blog
Featured Suites	Các Suites
Revise Search	Sửa đổi Tìm kiếm
Similar Properties	Thuộc tính tương tự
Property Finders	Finders tài sản
Digital Footprint	Digital Footprint
Last Booking	Đặt cuối
Last Email	Email cuối
Last Event	Sự kiện mới nhất
Quote is valid for	Trích dẫn có giá trị
minute(s)	phút (s)
second(s)	thứ hai (s)
The credit card number should contain only digits	Số thẻ tín dụng chỉ nên chứa các chữ số
This quote is not valid any more	Câu nói này là không hợp lệ nữa
The page will be automatically refreshed	Các trang sẽ tự động làm mới
You will pay in	Bạn sẽ phải trả trong
There are no properties in your wish list	Không có thuộc tính trong danh sách mong muốn của bạn
Garage Spaces	Không gian nhà để xe
An unexpected error occurred	Đã xảy ra lỗi không mong muốn
Please try again later	Vui lòng thử lại sau
Booking not found	Đặt phòng không được tìm thấy
Make a Payment	Thực hiện một thanh toán
Please verify this booking belongs to you	Hãy kiểm tra đặt phòng này thuộc về bạn
This booking has been canceled	Đặt phòng này đã bị hủy
Pay Now	Bây giờ trả
Filter by	Lọc theo
Response	Phản ứng
See full review on	Xem đánh giá đầy đủ về
Lot Size	Kích thước lô đất
Privacy	Bảo mật
Privacy Policy	Chính Sách Riêng Tư
Policy	Chính sách
Terms	Điều khoản
My WishList	Danh sách Wish My
WishList	Danh sách mong muốn
WishListed	Trong danh sách mong muốn của bạn
Nights	Đêm
Inquire Now	Hỏi bây giờ
Thank you, your request has been submitted.	Cảm ơn bạn, yêu cầu của bạn đã được gửi.
Booking %s was not found.	Đây %s không tìm thấy được.
Try again	Thử lại
Please contact us to complete this transaction:	Xin vui lòng liên hệ với chúng tôi để hoàn tất giao dịch này:
Booking ID	Đây ID
There was an error with PayPal	Đã có lỗi với PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Thật không may, thanh toán của bạn đã thất bại. Đừng lo lắng, Đặt phòng của bạn được an toàn; nhưng bạn sẽ cần phải cố gắng thanh toán của bạn một lần nữa.
Payment Confirmed	Thanh toán xác nhận
Booking Confirmed	Đây xác nhận
Booking Complete	Đây hoàn toàn
Payment Complete	Thanh toán đầy đủ
Create Booking	Tạo ra đây
Complete Payment	Hoàn thành thanh toán
Next, please confirm your %s PayPal payment.	Tiếp theo, xin vui lòng xác nhận bạn %s thanh toán PayPal.
Confirm this payment	Xác nhận các khoản thanh toán này
Please contact us to complete this transaction:	Xin vui lòng liên hệ với chúng tôi để hoàn tất giao dịch này:
We're sorry, but your payment was unsuccessful.	Chúng tôi rất tiếc, nhưng thanh toán của bạn không thành công.
