Property Details	Описание объектов
Booking not found	Бронирование не найденo
Make a Payment 	Произведите платеж
Please verify this booking belongs to you 	Пожалуйста проверьте, что это бронирование принадлежит Вам
This booking has been canceled	Этo бронирование было отменено
Filter by	Отфильтровать по
Response	Ответ
See full review on	Показать полный отзыв на
Lot Size	Размер объекта
Privacy 	Конфиденциальность
Privacy Policy	Политика конфиденциальности
Policy	Политика
Terms	Условия
Nights	Ночей
Inquire Now	Запрос сейчас
Thank you, your request has been submitted.	Спасибо, ваш запрос был представлен.
Booking %s was not found.	Бронирование %s не найдена.
Try again	Повторить
Please contact us to complete this transaction:	Vă rugăm să contactaţi-ne pentru a finaliza această tranzacţie:
Booking ID	КОД бронирования
There was an error with PayPal	Произошла ошибка с PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	К сожалению ваш платеж не удалось. Не волнуйтесь, ваш заказ является безопасным; но вам нужно будет пробовать снова ваш платеж.
Payment Confirmed	Подтвердил платеж
Booking Confirmed	Бронирование подтверждено
Booking Complete	Бронирование полной
Payment Complete	Полная оплата
Create Booking	Создание бронирования
Complete Payment	Полная оплата
Next, please confirm your %s PayPal payment.	Далее пожалуйста, подтвердите ваш PayPal платеж %s.
Confirm this payment	Подтвердить платеж
Please contact us to complete this transaction:
We're sorry, but your payment was unsuccessful.	Извините, но ваш платеж был неудачным.
