Property Details	Az ingatlan adatai
Status	Állapot
Created On	Létrehozva
Hold Confirmation Number	Tartás visszaigazolásszáma
Quoted Rate	Jegyzett árfolyam
We are looking forward to your visit	Örülünk, hogy a látogatást
in the mean time	eközben
you may want to review one of these links	érdemes felülvizsgálni az alábbi linkek
Map and Description of Local Attractions	Térkép és leírása Helyi nevezetességek
More Info About	Több információi
located in	található
Complete your booking now	Töltse ki a foglalási most
click here	kattints ide
Your booking will be held until	A foglalást tartott, amíg
A service from	A szolgáltatás
Best Regards	Üdvözlettel
Thank you for your interest in	Köszönjük, hogy érdeklődik a
Toll-Free	Ingyenes
Confirmed	Megerősített
Held	Held
Checked In	Ellenőrizni
Checked Out	Kivette
Cancelled	Törölt
Pending Confirmation	Függőben megerősítése
Weather	Időjárás
Special Offers	Különleges Ajánlatok
Blog	Blog
Featured Suites	Kiemelt Suites
Revise Search	Revise Keresés
Similar Properties	Hasonló ingatlanok
Property Finders	Property kapja
Digital Footprint	Digitális Footprint
Last Booking	Utolsó foglalás
Last Email	Utolsó Email
Last Event	Legutóbbi esemény
Quote is valid for	Idézet érvényes
minute(s)	perc (ek)
second(s)	másodperc (s)
The credit card number should contain only digits	A hitelkártya-számot kell csak számjegyeket tartalmazhat
This quote is not valid any more	Ez az idézet nem érvényes
The page will be automatically refreshed	Az oldal automatikusan frissül
You will pay in	Kell fizetni
There are no properties in your wish list	Nincs a tulajdonságokat a kívánságlista
Garage Spaces	Garázs Spaces
An unexpected error occurred	Váratlan hiba történt
Please try again later	Kérlek, próbáld újra később
Booking not found	Foglalás nem találhatók
Make a Payment	Az eseti befizetés
Please verify this booking belongs to you	Kérjük, ellenőrizze a foglalás tiéd
This booking has been canceled	Ez a foglalási törölték
Pay Now	Fizess Most
Filter by	Szűrés
Response	Válasz
See full review on	Lásd teljes ismertetőt
Lot Size	Telek méret
Privacy	Magánélet
Privacy Policy	Adatvédelmi Irányelvek
Policy	Politika
Terms	Feltételek
My WishList	Saját Wish List
WishList	Wish List
WishListed	Ebben a kívánságlistát
Nights	Éjszaka
Inquire Now	Érdeklődjön most
Thank you, your request has been submitted.	Köszönöm, a kérelmet már benyújtották.
Booking %s was not found.	Foglalás a(z) %s nem található.
Try again	próbáld újra
Please contact us to complete this transaction:	Kérjük, lépjen kapcsolatba velünk a tranzakció befejezéséhez:
Booking ID	Foglalás azonosító
Phone	Telefon
There was an error with PayPal	Hiba történt a PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Sajnos a fizetés nem sikerült. Ne aggódj, a foglalás biztonságos; de szüksége lesz a fizetési újra próbálni.
Payment Confirmed	Fizetési megerősítette
Booking Confirmed	Foglalás megerősítette
Booking Complete	Foglalás teljes
Payment Complete	Fizetés teljes
Create Booking	Hozzon létre a foglalás
Complete Payment	Teljes kifizetés
Next, please confirm your %s PayPal payment.	Ezután erősítse meg a %s PayPal fizetés.
Confirm this payment	Erősítse a fizetés
Please contact us to complete this transaction:	Kérjük, lépjen kapcsolatba velünk a tranzakció befejezéséhez:
We're sorry, but your payment was unsuccessful.	Elnézést, de sikertelen volt a fizetés.
