Property Details	Dettagli dell'immobile
The credit card number should contain only digits	Il numero di carta di credito deve contenere solo cifre
This quote is not valid any more	Questo preventivo non é piú valido
The page will be automatically refreshed	La pagina verrá  aggiornata automaticamente
You will pay in	Pagherete in
There are no properties in your wish list	Non ci sono immobili nella tua lista dei desideri
Garage Spaces	Spazi destinati a garage
An unexpected error occurred	Si é verificato un errore imprevisto
Please try again later	Per favore riprova piú tardi
Booking not found	prenotazione non trovata
Make a Payment	Effettua un pagamento
Please verify this booking belongs to you	Controllare che questa prenotazione vi appartiene
This booking has been canceled	Questa prenotazione é stata cancellata
Pay Now	Paga Adesso
Filter by	Filtra per
Response	Risposta
See full review on	Vedi recensione completa su
Lot Size	Dimensione del lotto
Privacy	privacy
Privacy Policy	Informativa sulla privacy
Policy	Politica
Terms	Condizioni
Nights	Notti
Inquire Now	Informarsi adesso
Thank you, your request has been submitted.	Grazie, la richiesta è stata inviata.
Booking %s was not found.	Prenotazione di %s non è stato trovato.
Try again	Riprova
Please contact us to complete this transaction:	Vi preghiamo di contattarci per completare questa transazione:
Booking ID	ID di prenotazione
There was an error with PayPal	C'era un errore con PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Purtroppo, il pagamento non riuscito. Non ti preoccupare, la prenotazione è sicuro; ma sarà necessario provare nuovamente il pagamento.
Payment Confirmed	Confermata di pagamento
Booking Confirmed	Prenotazione confermata
Booking Complete	Prenotazione completa
Payment Complete	Pagamento completo
Create Booking	Creare la prenotazione
Complete Payment	Completare il pagamento
Next, please confirm your %s PayPal payment.	Successivamente, si prega di confermare il tuo %s pagamento PayPal.
Confirm this payment	Confermare questo pagamento
Please contact us to complete this transaction:	Vi preghiamo di contattarci per completare questa transazione:
We're sorry, but your payment was unsuccessful.	Siamo spiacenti, ma il pagamento non riuscito.
