Property Details	Λεπτομέρειες Ακινήτου
You Saved	Που έχετε αποθηκεύσει
Status	Κατάσταση
Created On	Δημιουργήθηκε Από
Hold Confirmation Number	Διατηρούν αυτόν τον αριθμό επιβεβαίωσης
Quoted Rate	Εισηγμένες τιμής
We are looking forward to your visit	Ανυπομονούμε για την επίσκεψή σας
in the mean time	στο μεταξύ
you may want to review one of these links	μπορεί να θέλετε να επανεξετάσει έναν από αυτούς τους συνδέσμους
Map and Description of Local Attractions	Χάρτης και περιγραφή των Αξιοθέατα
More Info About	Περισσότερες πληροφορίες σχετικά με
located in	που βρίσκεται στο
Complete your booking now	Ολοκληρώστε την κράτηση σας τώρα
click here	πατήστε εδώ
Your booking will be held until	Η κράτησή σας θα πραγματοποιηθεί μέχρι
A service from	Μια υπηρεσία από
Best Regards	Τις Καλύτερες Ευχές
Thank you for your interest in	Σας ευχαριστούμε για το ενδιαφέρον σας
Toll-Free	Χωρίς Διόδια
Confirmed	Επιβεβαιώθηκε
Held	Held
Checked In	Στη βιβλιοθήκη
Checked Out	Δανεισμός
Cancelled	Ακυρώθηκε
Pending Confirmation	Εν αναμονή της επιβεβαίωσης
Weather	Καιρός
Special Offers	Προσφορές
Blog	Ιστολόγιο
Featured Suites	Προτεινόμενα Σουίτες
Revise Search	Αναθεωρήστε Αναζήτηση
Similar Properties	Παρόμοια Ακίνητα
Property Finders	Finders Ακίνητα
Digital Footprint	Ψηφιακό αποτύπωμα
Last Booking	Τελευταία Κράτηση
Last Email	Τελευταία Email
Last Event	Τελευταία Εκδήλωση
Quote is valid for	Παράθεση ισχύει για
minute(s)	λεπτό (ά)
second(s)	δευτερόλεπτα (s)
The credit card number should contain only digits	Ο αριθμός της πιστωτικής κάρτας θα πρέπει να περιέχει μόνο ψηφία
This quote is not valid any more	Αυτή η προσφορά δεν ισχύει πλέον
The page will be automatically refreshed	Η σελίδα θα ανανεώνεται αυτόματα
You will pay in	Θα πληρώσετε στο
There are no properties in your wish list	Δεν υπάρχουν ακίνητα στη λίστα επιθυμιών σας
Garage Spaces	Χώροι Γκαράζ
An unexpected error occurred	Παρουσιάστηκε μη αναμενόμενο σφάλμα
Please try again later	Παρακαλώ δοκιμάστε ξανά αργότερα
Booking not found	Κράτησης δεν βρέθηκε
Make a Payment	Πραγματοποίηση πληρωμής
Please verify this booking belongs to you	Παρακαλώ ελέγξτε αυτό κράτησή σας ανήκει
This booking has been canceled	Αυτή η κράτηση έχει ακυρωθεί
Pay Now	Πλήρωσε Τώρα
Filter by	Φίλτρο με
Response	Απάντηση
See full review on	Δείτε την πλήρη αναθεώρηση για
Lot Size	Μέγεθος Οικοπέδου
Privacy	Προσωπικα Δεδομενα
Privacy Policy	Πολιτική Απορρήτου
Policy	Πολιτική
Terms	Όροι
My WishList	Η λίστα επιθυμιών μου
WishList	Λίστα Επιθυμιών
WishListed	Στη λίστα επιθυμιών σας
Nights	Νύχτες
Inquire Now	Ρωτήσετε τώρα
Thank you, your request has been submitted.	Σας ευχαριστώ, σας έχει κατατεθεί.
Booking %s was not found.	Κράτηση %s δεν βρέθηκε.
Try again	Δοκίμασε ξανά
Please contact us to complete this transaction:	Παρακαλώ επικοινωνήστε μαζί μας για να ολοκληρώσετε αυτήν την συναλλαγή:
Booking ID	ID της κράτησης
Phone	Τηλέφωνο
There was an error with PayPal	Παρουσιάστηκε ένα σφάλμα με το PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Δυστυχώς, η πληρωμή σας απέτυχε. Μην ανησυχείτε, η κράτησή σας είναι ασφαλής? αλλά θα πρέπει να δοκιμάστε να εκτελέσετε ξανά την πληρωμή σας.
Payment Confirmed	Πληρωμή επιβεβαιωθεί
Booking Confirmed	Επιβεβαίωση κράτησης
Booking Complete	Κράτηση ολοκληρωθεί
Payment Complete	Ολοκλήρωση πληρωμής
Create Booking	Δημιουργία κράτησης
Complete Payment	Ολοκλήρωση πληρωμής
Next, please confirm your %s PayPal payment.	Στη συνέχεια, επιβεβαιώστε σας %s PayPal πληρωμή.
Confirm this payment	Επιβεβαιώνουν αυτή την πληρωμή
Please contact us to complete this transaction:	Παρακαλώ επικοινωνήστε μαζί μας για να ολοκληρώσετε αυτήν την συναλλαγή:
We're sorry, but your payment was unsuccessful.	Λυπούμαστε, αλλά η πληρωμή σας ήταν ανεπιτυχής.
