Property Details	Detail nemovitosti
Garage Spaces	Garážová stání
An unexpected error occurred	Došlo k neočekávané chybě
Please try again later	Prosím zkuste to znovu později
Booking not found	Rezervace nebyl nalezen
Make a Payment	Proveďte platbu
Please verify this booking belongs to you	Zkontrolujte prosím, zda toto rezervace patří vám
This booking has been canceled	Tato rezervace byla zrušena
Pay Now	Zaplať Teď
Filter by	Filtrovat podle
Response	Odpověď
See full review on	Zobrazit celou recenzi na
Lot Size	Lot Size
Privacy	Ochrana Osobních Údajů
Privacy Policy	Ochrana osobních údajů
Policy	Politika
Terms	Z Hlediska
Nights	Nocí
Inquire Now	Dotaz nyní
Thank you, your request has been submitted.	Děkuji, vaše žádost byla předložena.
Booking %s was not found.	Rezervace %s nebyla nalezena.
Try again	Zkuste to znovu
Please contact us to complete this transaction:	Kontaktujte nás pro dokončení transakce:
Booking ID	ID rezervace
Phone	Telefon
There was an error with PayPal	Došlo k chybě s PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Bohužel vaše platba se nezdařila. Nebojte se, vaše rezervace je třeba zaplatit; ale budete muset zkuste platbu provést znovu.
Payment Confirmed	Platba potvrzena
Booking Confirmed	Rezervace potvrzena
Booking Complete	Rezervace dokončena
Payment Complete	Platba dokončena
Create Booking	Vytvořit rezervaci
Complete Payment	Úplná platba
Next, please confirm your %s PayPal payment.	Dále prosím potvrďte vaše %s PayPal platby.
Confirm this payment	Potvrďte platbu
Please contact us to complete this transaction:	Kontaktujte nás pro dokončení transakce:
We're sorry, but your payment was unsuccessful.	Je nám líto, ale vaše platba neproběhla.
