Property Details	Caracteristiques de la propietat
Accept Terms and Conditions	Acceptar Termes  i Condicions
Please fill out all required fields	Si us plau, ompliu tots els camps requerits
The entered credit card is invalid	La targeta de crèdit introduïda no és vàlida 
Please accept the terms and conditions	Si us plau, accepteu els termes i condicions
Guest Information	Informació del client
Credit Card Information	Informació de la Targeta de Crèdit
Name on Card	Nom a la targeta
Card Type	Tipus de Targeta
Card Number	Nümero de Targeta
Expiration	Caducitat
Month	Mes
Year	Any
Security Code	Codi de Seguretat
Amount to be charged now	Quantitat a cobrar ara
Amount Paid	Quantitat Pagada
Amount Due Now	Import a Pagar ara
Billing Address	Adreça d’enviament
Street Line 1	Carrer Línia 1
Street Line 2	Carrer Línia 2
I have read and accept the terms and conditions	He llegit i accepto els termes i condicions
Terms of Service	Condicions del Servei
Rental Policy	Termes legals de lloguer
Booking Disclaimer	Condicions de la reserva
Review Now	Revisi ara
Reserve Now	Reservar ara
You Saved	Has desat
Status	Estat
Created On	Creat el 
Hold Confirmation Number	Numero de prereserva
Quoted Rate	Preu ofertat
We are looking forward to your visit	T’esperem aviat 
in the mean time	mentrestant
you may want to review one of these links	Et pot interessar resvisar els següents enllaços
Map and Description of Local Attractions	Plànol i descripció dels llocs d’interès locals
More Info About	Més informació sobre 
located in	situat a
Complete your booking now	Completa la teva reserva ara
click here	faci click aquí
Your booking will be held until	La reserva es guardarà fins 
A service from	Un servei ofert per
Best Regards	Atentament
Thank you for your interest in	Gràcies pel vostre interès
Toll-Free	Prefixe telèfonic gratuït
Confirmed	Confirmat
Held	bloquejat
Checked In	Arribat (Checked In)
Checked Out	Sortit (Checked out)
Cancelled	Cancel.lat
Pending Confirmation	Confirmació pendent
Weather	Temps
Special Offers	Ofertes especials
Blog	Bloc
Featured Suites	Habitacions destacades 
Revise Search	Modificar la cerca
Similar Properties	Immobles similars
Property Finders	Cercador de propietats 
Digital Footprint	Empremta digital
Last Booking	Darrera reserva
Last Email	Darrer Email
Last Event	Darrer esdeveniment
Quote is valid for	Pressupost valid per 
minute(s)	minut (s)
second(s)	segon (s)
The credit card number should contain only digits	EL número de la targeta de crèdit ha de tenir només xifres. 
This quote is not valid any more	Aquest pressupost ja no és valid
The page will be automatically refreshed	La plàna s’actualitzarà automaticament 
You will pay in	EL pagament serà en 
There are no properties in your wish list	No has seleccionat cap propietat a la teva llista
Garage Spaces	Places de garatge
An unexpected error occurred	S'ha produít un error inesperat
Please try again later	SI us oplau, torneu a intentar-ho més tard
Booking not found	No s’ha trobat la reserva
Make a Payment	Realitzar un pagament
Please verify this booking belongs to you	Si us plau verifiqueu que aquesta reserv a és vostre
This booking has been canceled	Aquesta reserva ha estat cancel·lada
Pay Now	Pagar Ara
Filter by	Filtrar per
Response	Resposta
See full review on	Veure resum complert en
Lot Size	Mida de la parcel.la
Privacy	Intimitat
Privacy Policy	Política de Privadesa
Policy	Política
Terms	Condicions
Nights	Nits
Inquire Now	Ara preguntar
Thank you, your request has been submitted.	Gràcies, s'ha presentat la seva sol·licitud.
Booking %s was not found.	Reserva de %s no es trobava.
Try again	Torneu
Please contact us to complete this transaction:	Contacti amb nosaltres per completar aquesta operació:
Booking ID	ID de reserva
Phone	Telèfon
There was an error with PayPal	Hi havia un error amb PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Malauradament, el seu pagament ha fallat. No es preocupi, la reserva és segura; però vostè haurà de provar una altra vegada el seu pagament.
Payment Confirmed	Pagament confirmat
Booking Confirmed	Confirmada la reserva
Booking Complete	Reserves complet
Payment Complete	Pagament complet
Create Booking	Crear reserves
Complete Payment	Pagament íntegre
Next, please confirm your %s PayPal payment.	A continuació, cal confirmar la seva %s de pagament PayPal.
Confirm this payment	Confirmar aquest pagament
Please contact us to complete this transaction:	Contacti amb nosaltres per completar aquesta operació:
We're sorry, but your payment was unsuccessful.	Ho sentim, però el seu pagament no va tenir èxit.
