Property Details	Fastighetsuppgifter
Rent	Hyra
Fees	Avgifter
Taxes	Skatter
Optional Fees & Services	Valfria Avgifter & Tjänster
Deposits	Insättningar
Discounts	Rabatter
Sub Total	Delsumma
Total	Totalt
First Name	Förnamn
Last Name	Efternamn
Special Requests	Speciella önskemål
Change Info	Ändra info
Accept Terms and Conditions	Acceptera Villkor
Please fill out all required fields	Fyll i alla obligatoriska fält
The entered credit card is invalid	Den angivna kreditkort är ogiltigt
Please accept the terms and conditions	Vänligen acceptera villkoren
Guest Information	Gästinformation
Credit Card Information	Kreditkortsinformation
Name on Card	Namn på kortet
Card Type	Korttyp
Card Number	Kortnummer
Expiration	Utgångs
Month	Månad
Year	År
Security Code	Säkerhetskod
Amount to be charged now	Belopp som skall debiteras nu
Amount Paid	Belopp Betalas
Amount Due Now	Belopp Tack Nu
Billing Address	Fakturaadress
Street Line 1	Street Linje 1
Street Line 2	Street Linje 2
I have read and accept the terms and conditions	Jag har läst och accepterar villkoren
Terms of Service	Villkor
Rental Policy	Uthyrning Policy
Booking Disclaimer	Boknings Disclaimer
Review Now	Granska nu
Reserve Now	Reserve Now
You Saved	Du räddade
Status	Status
Created On	Skapad den
Hold Confirmation Number	Hold Bekräftelsenummer
Quoted Rate	Citerat Betyg
We are looking forward to your visit	Vi ser fram emot ditt besök
in the mean time	sålänge
you may want to review one of these links	du kanske vill granska en av dessa länkar
Map and Description of Local Attractions	Karta och Beskrivning av Lokala attraktioner
More Info About	Mer info om
located in	beläget i
Complete your booking now	Komplettera din bokning nu
click here	klicka här
Your booking will be held until	Din bokning kommer att hållas förrän
A service from	En tjänst från
Best Regards	Vänliga Hälsningar
Thank you for your interest in	Tack för ditt intresse
Toll-Free	Tullfritt
Confirmed	Bekräftat
Held	Held
Checked In	In Checkad
Checked Out	Checkat Ut
Cancelled	Inställd
Pending Confirmation	Väntar Bekräftelse
Weather	Väder
Special Offers	Specialerbjudanden
Blog	Blogg
Featured Suites	Utvalda Suites
Revise Search	Revidera sökning
Similar Properties	Liknande Egenskaper
Property Finders	Property Finders
Digital Footprint	Digital Footprint
Last Booking	Senaste bokning
Last Email	Senast Email
Last Event	Senaste Race
Quote is valid for	Citat är giltig för
minute(s)	minut (er)
second(s)	sekund (er)
The credit card number should contain only digits	Den kreditkortsnummer ska bara innehålla siffror
This quote is not valid any more	Detta citat är inte giltigt längre
The page will be automatically refreshed	Sidan kommer att uppdateras automatiskt
You will pay in	Du betalar i
There are no properties in your wish list	Det finns inga fastigheter i din önskelista
Garage Spaces	Garage Spaces
An unexpected error occurred	Ett oväntat fel inträffade
Please try again later	Försök igen senare
Booking not found	Bokning hittades inte
Make a Payment	Gör en betalning
Please verify this booking belongs to you	Vänligen kontrollera denna boknings tillhör dig
This booking has been canceled	Denna bokning har annullerats
Pay Now	Betala Nu
Filter by	Filtrera efter
Response	Response
See full review on	Visa hela recensionen på
Lot Size	Lot Storlek
Privacy	Integritet
Privacy Policy	Integritetspolicy
Policy	Policy
Terms	Villkor
My WishList	Min önskelista
WishList	Önskelista
WishListed	I din önskelista
Nights	Nätter
Inquire Now	Fråga nu
Thank you, your request has been submitted.	Tack, din begäran har lämnats in.
Booking %s was not found.	Bokning %s hittades inte.
Try again	Försök igen
Please contact us to complete this transaction:	Kontakta oss för att slutföra transaktionen:
Booking ID	Bokning-ID
There was an error with PayPal	Det uppstod ett fel med PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Tyvärr, din betalning misslyckades. Oroa dig inte, din bokning är säkra. men måste du försöka göra inbetalningen igen.
Payment Confirmed	Betalning bekräftade
Booking Confirmed	Bokningen bekräftas
Booking Complete	Bokning komplett
Payment Complete	Betalning klar
Create Booking	Skapa bokning
Complete Payment	Komplett betalning
Next, please confirm your %s PayPal payment.	Nästa, vänligen bekräfta din %s PayPal betalning.
Confirm this payment	Bekräfta denna betalning
Please contact us to complete this transaction:	Kontakta oss för att slutföra transaktionen:
We're sorry, but your payment was unsuccessful.	Vi beklagar, men din betalning var misslyckat.
