Property Details	房產詳細信息
Property Finders	物業發現者
Digital Footprint	數字足跡
Last Booking	最後訂艙
Last Email	最後電子郵件
Last Event	上次事件
Quote is valid for	報價的有效期為
minute(s)	分鐘
second(s)	秒
The credit card number should contain only digits	信用卡號碼應只包含數字
This quote is not valid any more	這句話是不再有效
The page will be automatically refreshed	該頁面會自動刷新
You will pay in	你將支付
There are no properties in your wish list	有你的願望清單沒有屬性
Garage Spaces	車庫空間
An unexpected error occurred	發生意外錯誤
Please try again later	請稍後再試。
Booking not found	預訂未找到
Make a Payment	進行付款
Please verify this booking belongs to you	請驗證該預訂屬於你
This booking has been canceled	此預訂已被取消
Pay Now	現在支付
Filter by	過濾
Response	響應
See full review on	看到全面檢討
Lot Size	批量
Privacy	隱私
Privacy Policy	隱私政策
Policy	政策
Terms	條款
My WishList	我的願望清單
WishList	願望清單
WishListed	在您的願望清單
Nights	夜晚
Inquire Now	現在查詢
Thank you, your request has been submitted.	謝謝你，你的請求已提交。
Booking %s was not found.	預訂 %s 找不到。
Try again	再试一次
Please contact us to complete this transaction:	请要完成这笔交易，与我们联系︰
Booking ID	预订 ID
Phone	电话
There was an error with PayPal	与贝宝出错
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	不幸的是，您的付款失败。别担心，您的预订是安全的;但你将需要尝试再一次您的付款。
Payment Confirmed	确认付款
Booking Confirmed	预订确认
Booking Complete	预订完成
Payment Complete	付款完成
Create Booking	创建预订
Complete Payment	完成付款
Next, please confirm your %s PayPal payment.	接下来，请确认您的 %s 的贝宝付款。
Confirm this payment	确认这种付款方式
Please contact us to complete this transaction:	请要完成这笔交易，与我们联系︰
We're sorry, but your payment was unsuccessful.	我们很抱歉，但您的付款没有成功。
