Taxes & Fees	Skatter og afgifter
Rent (including Taxes,Fees,& Deposits)	Rent (herunder skatter, afgifter, & Indlån)
Rent (including Taxes & Fees)	Leje (herunder skatter og afgifter)
Rent (including Taxes)	Leje (herunder skatter)
Rent (including Fees)	Leje (herunder gebyrer)
Optional Fees	Valgfri Gebyrer
Refundable Security Deposit	Depositum
Booking Details	Booking Detaljer
Rent	Leje
Fees	Gebyrer
Taxes	Skatter
Optional Fees & Services	Valgfri Gebyrer & Services
Deposits	Indlån
Discounts	Rabatter
Sub Total	Sub Total
Total	Total
First Name	Fornavn
Last Name	Efternavn
Special Requests	Særlige Ønsker
Change Info	Skift Info
Accept Terms and Conditions	Accepter vilkår og betingelser
Please fill out all required fields	Udfyld venligst alle påkrævede felter
The entered credit card is invalid	Den indtastede kreditkort er ugyldigt
Please accept the terms and conditions	Modtag de vilkår og betingelser
Guest Information	Gæst Information
Credit Card Information	Credit Card Information
Name on Card	Navn på kort
Card Type	Card Type
Card Number	Kortnummer
Expiration	Udløb
Month	Måned
Year	År
Security Code	Sikkerhedskode
Amount to be charged now	Beløb, der skal opkræves nu
Amount Paid	Beløb betalt
Amount Due Now	Forfaldent beløb nu
Billing Address	Faktureringsadresse
Street Line 1	Street linje 1
Street Line 2	Street linje 2
I have read and accept the terms and conditions	Jeg har læst og accepterer de vilkår og betingelser
Terms of Service	Servicevilkår
Rental Policy	Leje Politik
Booking Disclaimer	Booking Disclaimer
Review Now	Gennemgå nu
Reserve Now	Reserve nu
You Saved	Du reddede
Status	Status
Created On	Oprettet den
Hold Confirmation Number	Hold bekræftelsesnummer
Quoted Rate	Citerede sats
We are looking forward to your visit	Vi ser frem til dit besøg
in the mean time	i mellemtiden
you may want to review one of these links	du måske ønsker at gennemgå et af disse links
Map and Description of Local Attractions	Kort og beskrivelse af lokale attraktioner
More Info About	Flere oplysninger om
located in	placeret i
Complete your booking now	Udfyld din booking nu
click here	klik her
Your booking will be held until	Din bestilling vil blive holdt indtil
A service from	En service fra
Best Regards	Venlig hilsen
Thank you for your interest in	Tak for din interesse i
Toll-Free	Toll-Free
Confirmed	Bekræftet
Held	Held
Checked In	Kontrolleres i
Checked Out	Tjekket ud
Cancelled	Aflyste
Pending Confirmation	Afventen af ​​bekræftelse
Weather	Vejr
Special Offers	Tilbud
Blog	Blog
Featured Suites	Udvalgte Suites
Revise Search	Revider søgning
Similar Properties	Lignende Egenskaber
Property Finders	Ejendom Finders
Digital Footprint	Digital Footprint
Last Booking	Sidste Booking
Last Email	Sidste Email
Last Event	Sidste event
Quote is valid for	Citat er gyldigt for
minute(s)	minut (ter)
second(s)	sekund (s)
The credit card number should contain only digits	Det kreditkortnummer bør kun indeholde cifre
This quote is not valid any more	Dette citat er ikke gyldigt længere
The page will be automatically refreshed	Siden vil automatisk blive opdateret
You will pay in	Du betaler i
There are no properties in your wish list	Der er ingen ejendomme i din ønskeliste
Garage Spaces	Garage Spaces
An unexpected error occurred	Opstod en uventet fejl
Please try again later	Prøv igen senere
Booking not found	Booking ikke fundet
Make a Payment	Foretag en betaling
Please verify this booking belongs to you	Kontroller denne booking tilhører dig
This booking has been canceled	Denne booking er blevet annulleret
Pay Now	Betal nu
Filter by	Filtrer efter
Response	Svar
See full review on	Se hele anmeldelse på
Lot Size	Lot Size
Privacy	Privacy
Privacy Policy	Privacy Policy
Policy	Politik
Terms	Betingelser
My WishList	Min huskeseddel
WishList	Ønskeliste
WishListed	I din ønskeliste
Nights	Nætter
Inquire Now	Spørg nu
Thank you, your request has been submitted.	Tak, din anmodning er blevet indgivet.
Booking %s was not found.	Booking %s blev ikke fundet.
Try again	Prøv igen
Please contact us to complete this transaction:	Kontakt os for at gennemføre denne transaktion:
Booking ID	Booking-ID
Phone	Telefon
There was an error with PayPal	Der opstod en fejl med PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Desværre, din betaling mislykkedes. Må ikke bekymre dig, din booking er sikker. men du bliver nødt til at prøve din betaling igen.
Payment Confirmed	Betaling bekræftet
Booking Confirmed	Booking bekræftet
Booking Complete	Booking komplet
Payment Complete	Betaling komplet
Create Booking	Opret Booking
Complete Payment	Komplet betaling
Next, please confirm your %s PayPal payment.	Næste, Bekræft venligst din %s PayPal betaling.
Confirm this payment	Bekræfte denne betaling
Please contact us to complete this transaction:	Kontakt os for at gennemføre denne transaktion:
We're sorry, but your payment was unsuccessful.	Vi beklager, men din betaling var mislykket.
