Property Details	Detalhes sobre a propriedade
Apply	Aplicar
Coupon Code	Código Do Cupom
See Details	Veja Detalhes
Address	Endereço
City	Cidade
State	Estado
Country	País
Region	Região
Neighborhood	Vizinhança
Postal Code	Código Postal
Province	Província
Town	Cidade
Fast Secure Online Booking	Rápido Reserva segura pela Internet
Charges	Encargos
Taxes & Fees	Impostos e Taxas
Rent (including Taxes,Fees,& Deposits)	Rent (incluindo impostos, taxas, e depósitos)
Rent (including Taxes & Fees)	Rent (incluindo impostos e taxas)
Rent (including Taxes)	Rent (incluindo impostos)
Rent (including Fees)	Rent (incluindo taxas)
Optional Fees	Taxas opcionais
Refundable Security Deposit	Depósito reembolsável
Booking Details	Detalhes da Reserva
Rent	Aluguel
Fees	Honorários
Taxes	Impostos
Optional Fees & Services	Taxas e Serviços opcionais
Deposits	Depósitos
Discounts	Descontos
Sub Total	Subtotal
Total	Total
First Name	Primeiro Nome
Last Name	Sobrenome
Special Requests	Pedidos Especiais
Change Info	Alterar Informações
Accept Terms and Conditions	Aceite os Termos e Condições
Please fill out all required fields	Por favor, preencha todos os campos obrigatórios
The entered credit card is invalid	O cartão de crédito digitado é inválido
Please accept the terms and conditions	Por favor, aceite os termos e condições
Guest Information	Informações do hóspede
Credit Card Information	Informações do cartão de crédito
Name on Card	Nome no cartão
Card Type	Tipo De Carta
Card Number	Número Do Cartão
Expiration	Expiração
Month	Mês
Year	Ano
Security Code	Código De Segurança
Amount to be charged now	Valor a ser cobrado agora
Amount Paid	Quantia Paga
Amount Due Now	Valor Devido Agora
Billing Address	Endereço De Cobrança
Street Line 1	Rua Linha 1
Street Line 2	Rua Linha 2
I have read and accept the terms and conditions	Eu li e aceito os termos e condições
Terms of Service	Termos de serviço
Rental Policy	Política de aluguel
Booking Disclaimer	Reserva Legal
Review Now	Comente Agora
Reserve Now	Reserve Agora
You Saved	Você Guardar
Status	Estado
Created On	Criado Em
Hold Confirmation Number	Espera Número de Confirmação
Quoted Rate	Taxa Citado
We are looking forward to your visit	Nós estamos olhando para a frente a sua visita
in the mean time	entretanto
you may want to review one of these links	você pode querer rever um desses links
Map and Description of Local Attractions	Mapa e descrição de atrações locais
More Info About	Mais informações sobre o
located in	localizado em
Complete your booking now	Complete a sua reserva agora
click here	clique aqui
Your booking will be held until	Sua reserva será realizada até
A service from	Um serviço de
Best Regards	Cumprimentos
Thank you for your interest in	Obrigado pelo seu interesse em
Toll-Free	Toll-Free
Confirmed	Confirmado
Held	Realizada
Checked In	O check-in
Checked Out	Emprestado
Cancelled	Cancelado
Pending Confirmation	Confirmação pendência
Weather	Tempo
Special Offers	Ofertas Especiais
Blog	Blog
Featured Suites	Suites em destaque
Revise Search	Revisar Pesquisa
Similar Properties	Propriedades semelhantes
Property Finders	Finders Propriedade
Digital Footprint	Digital Footprint
Last Booking	Última reserva
Last Email	Última Email
Last Event	Último evento
Quote is valid for	Citar é válido para
minute(s)	minuto (s)
second(s)	segundo (s)
The credit card number should contain only digits	O número do cartão de crédito deve conter apenas dígitos
This quote is not valid any more	Esta citação não é válido mais
The page will be automatically refreshed	A página será atualizada automaticamente
You will pay in	Você vai pagar em
There are no properties in your wish list	Não há propriedades em sua lista de desejos
Garage Spaces	Vagas na garagem
An unexpected error occurred	Ocorreu um erro inesperado
Please try again later	Por favor, tente novamente mais tarde
Booking not found	Reserva não encontrado
Make a Payment	Faça um pagamento
Please verify this booking belongs to you	Por favor, verifique esta reserva pertence a você
This booking has been canceled	Esta reserva foi cancelada
Pay Now	Pague Agora
Filter by	Filtrar por
Response	Resposta
See full review on	Veja o comentário completo sobre
Lot Size	Lote
Privacy	Privacidade
Privacy Policy	Política De Privacidade
Policy	Política
Terms	Condições
My WishList	Minha Lista De Desejos
WishList	Lista de desejos
WishListed	Em sua lista de desejos
Nights	Noites
Inquire Now	Inquirir agora
Thank you, your request has been submitted.	Obrigado, seu pedido foi enviado.
Booking %s was not found.	Reservas de %s não foi encontrado.
Try again	Tentar novamente
Please contact us to complete this transaction:	Por favor contacte-nos para concluir esta transação:
Booking ID	ID de reserva
There was an error with PayPal	Houve um erro com PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Infelizmente, seu pagamento falhou. Não se preocupe, sua reserva é segura; Mas você precisa tentar novamente seu pagamento.
Payment Confirmed	Pagamento confirmado
Booking Confirmed	Reserva confirmada
Booking Complete	Reservas-completa
Payment Complete	Pagamento completo
Create Booking	Criar reserva
Complete Payment	Pagamento completo
Next, please confirm your %s PayPal payment.	Em seguida, confirme por favor sua %s pagamento PayPal.
Confirm this payment	Confirmar o pagamento
Please contact us to complete this transaction:	Por favor contacte-nos para concluir esta transação:
We're sorry, but your payment was unsuccessful.	Lamentamos, mas seu pagamento foi um fracasso.
